datetime,dewptm,hum,precipm,pressurem,rain,tempm,vism,wgustm,wspdm
2011-01-02 11:56:00,7.7999999999999998,86.0,-9999.0,1013.9,0.0,10.0,16.100000000000001,-9999.0,14.800000000000001
2011-01-02 12:56:00,7.7999999999999998,83.0,-9999.0,1013.3,0.0,10.6,16.100000000000001,-9999.0,13.0
2011-01-02 13:56:00,7.7999999999999998,83.0,-9999.0,1013.2,0.0,10.6,16.100000000000001,-9999.0,14.800000000000001
2011-01-02 14:28:00,7.0,82.0,-9999.0,1013.1,0.0,10.0,16.100000000000001,-9999.0,14.800000000000001
2011-01-02 14:56:00,7.2000000000000002,83.0,-9999.0,1013.4,0.0,10.0,16.100000000000001,-9999.0,18.5
2011-01-02 15:44:00,7.0,87.0,-9999.0,1013.4,0.0,9.0,16.100000000000001,-9999.0,20.399999999999999
2011-01-02 15:56:00,6.7000000000000002,83.0,-9999.0,1013.8,0.0,9.4000000000000004,16.100000000000001,-9999.0,22.199999999999999
2011-01-02 16:31:00,7.0,87.0,-9999.0,1014.1,0.0,9.0,16.100000000000001,-9999.0,24.100000000000001
2011-01-02 16:56:00,6.7000000000000002,86.0,0.0,1014.2,1.0,8.9000000000000004,8.0,-9999.0,20.399999999999999
2011-01-02 17:16:00,7.0,87.0,0.0,1014.4,1.0,9.0,12.9,-9999.0,20.399999999999999
2011-01-02 17:56:00,6.7000000000000002,83.0,0.0,1014.5,0.0,9.4000000000000004,16.100000000000001,-9999.0,22.199999999999999
2011-01-02 18:22:00,7.0,87.0,0.0,1014.8,1.0,9.0,16.100000000000001,-9999.0,22.199999999999999
2011-01-02 18:56:00,6.7000000000000002,83.0,0.0,1015.0,0.0,9.4000000000000004,16.100000000000001,-9999.0,16.699999999999999
2011-01-02 19:35:00,7.0,87.0,-9999.0,1014.8,0.0,9.0,16.100000000000001,-9999.0,14.800000000000001
2011-01-02 19:56:00,6.7000000000000002,83.0,-9999.0,1014.9,0.0,9.4000000000000004,16.100000000000001,-9999.0,11.1
2011-01-02 20:08:00,7.0,87.0,-9999.0,1014.8,0.0,9.0,16.100000000000001,-9999.0,20.399999999999999
2011-01-02 20:56:00,6.7000000000000002,83.0,-9999.0,1015.3,0.0,9.4000000000000004,16.100000000000001,-9999.0,9.3000000000000007
2011-01-02 21:37:00,6.0,82.0,-9999.0,1015.5,0.0,9.0,16.100000000000001,-9999.0,7.4000000000000004
2011-01-02 21:56:00,6.0999999999999996,83.0,-9999.0,1015.7,0.0,8.9000000000000004,16.100000000000001,-9999.0,13.0
2011-01-02 22:56:00,6.0999999999999996,80.0,-9999.0,1016.0,0.0,9.4000000000000004,16.100000000000001,-9999.0,16.699999999999999
2011-01-02 23:56:00,5.5999999999999996,77.0,-9999.0,1016.0,0.0,9.4000000000000004,16.100000000000001,-9999.0,5.5999999999999996
2011-01-03 00:56:00,6.0999999999999996,80.0,-9999.0,1016.1,0.0,9.4000000000000004,16.100000000000001,-9999.0,5.5999999999999996
2011-01-03 01:56:00,6.0999999999999996,80.0,-9999.0,1016.3,0.0,9.4000000000000004,16.100000000000001,-9999.0,0.0
